219   287   
114   126   
242   269   
189   262   
139   209   
96    110   
265   354   
263   298   
100   153   
160   237   
254   295   
163   211   
243   287   
300   365   
300   343   
77    122   
140   175   
242   267   
216   245   
162   254   
270   336   
58    151   
265   294   
78    165   
153   244   
187   286   
92    188   
93    185   
183   213   
98    116   
64    77    
132   211   
109   126   
136   166   
273   350   
179   236   
288   322   
76    146   
225   316   
221   317   
151   241   
291   346   
105   129   
120   135   
208   250   
203   253   
282   372   
73    150   
110   155   
144   176   
102   173   
173   262   
243   298   
125   158   
243   273   
246   297   
80    177   
287   355   
230   255   
270   360   
142   208   
179   250   
92    120   
160   205   
154   207   
263   348   
245   329   
180   214   
130   185   
166   188   
243   284   
264   299   
261   333   
155   171   
143   202   
112   173   
149   192   
93    158   
106   120   
109   160   
129   159   
230   322   
162   204   
109   192   
114   175   
158   254   
126   145   
53    130   
161   174   
121   170   
281   301   
123   212   
174   254   
110   130   
135   163   
295   393   
153   249   
120   145   
174   259   
200   269   
