300 399 
293 381 
72  151 
178 233 
106 197 
203 248 
148 187 
237 296 
287 354 
52  126 
258 269 
53  98  
251 274 
114 208 
155 190 
274 287 
217 228 
251 325 
72  158 
89  146 
100 180 
94  188 
187 248 
172 202 
131 160 
88  186 
60  133 
293 357 
256 282 
131 164 
271 315 
195 241 
166 201 
248 311 
211 277 
91  170 
102 119 
187 209 
279 323 
213 294 
204 246 
251 347 
116 190 
87  155 
129 169 
68  110 
77  134 
194 253 
215 246 
275 294 
75  101 
76  94  
148 193 
253 287 
129 182 
160 240 
217 274 
107 197 
290 312 
172 216 
253 272 
224 242 
222 256 
295 353 
64  153 
213 226 
262 337 
169 231 
187 201 
73  89  
241 336 
270 359 
260 340 
93  129 
224 242 
170 189 
150 178 
271 289 
281 301 
194 247 
166 255 
261 349 
68  83  
287 376 
168 215 
175 210 
164 185 
63  90  
88  178 
266 357 
89  104 
173 209 
276 375 
97  151 
293 330 
130 185 
59  121 
198 227 
52  66  
173 230 
