080299 495  
090488 440  
070479 395  
020155 275  
071091 455  
081045 225  
080239 195  
040259 295  
070967 335  
050174 370  
090211 55   
010345 225  
010623 115  
020794 470  
090135 175  
031013 65   
070611 55   
060774 370  
090486 430  
010557 285  
041080 400  
040994 470  
070861 305  
040630 150  
040229 145  
080598 490  
080373 365  
060864 320  
030326 130  
070533 165  
070444 220  
040746 230  
020435 175  
090963 315  
050766 330  
090979 395  
070217 85   
010822 110  
060944 220  
080981 405  
010342 210  
021096 480  
030174 370  
050568 340  
101040 200  
050942 210  
040257 285  
080959 295  
010631 155  
010319 95   
020826 130  
030818 90   
020645 225  
050934 170  
080353 265  
080680 400  
050457 285  
070890 450  
020822 110  
090944 220  
030619 95   
010318 90   
040234 170  
051058 290  
090289 445  
060213 65   
070775 375  
100862 310  
080814 70   
040616 80   
020895 475  
090589 445  
080280 400  
070336 180  
090818 90   
040319 95   
070928 140  
100818 90   
050620 100  
040253 265  
050389 445  
050788 440  
020315 75   
080189 445  
060247 235  
020135 175  
090821 105  
100427 135  
090190 450  
010491 455  
020615 75   
020336 180  
090699 495  
091054 270  
070637 185  
060655 275  
060362 310  
100929 145  
040714 70   
060157 285  
